id;uid;code;name;description;created;last_updated;mobile;family_id
1;Steel Distr;invoice port quantifying;calculate Specialist Plastic;Oregon Card;2021-10-31T12:48:16;2021-10-31T09:09:02;Ball haptic;1
2;overriding;Licensed capacitor Usability;system Computer;Lead strategy;2021-10-31T15:42:29;2021-10-31T09:00:29;model Unit;2
3;payment bac;Kids;Dynamic Plastic;Personal productize Research;2021-10-31T17:31:32;2021-10-31T03:33:57;intermediate;3
4;system func;deposit Bahraini;disintermediate Savings User;quantifying;2021-10-31T09:47:11;2021-10-31T22:40:37;Arab Technician Australia;4
5;US multi-by;Pine;Cambridgeshire bluetooth user-centric;Research focus;2021-10-31T00:52:59;2021-10-31T04:29:19;bypassing;5
6;Chair Perse;Sports Philippine recontextualize;National;invoice Garden;2021-10-31T08:27:51;2021-10-31T00:27:29;Kenyan;6
7;Computers;driver Keyboard;payment;interface Steel;2021-10-31T07:42:07;2021-10-31T21:33:03;Table Grocery impactful;7
8;bypass Fant;navigate morph interface;hierarchy;Solutions;2021-10-31T10:23:10;2021-10-31T08:22:57;parallelism optical open-source;8
9;Optimized;transform;Market;Grocery;2021-10-31T14:22:32;2021-10-31T15:38:38;mobile payment;9
10;Jewelery Li;Rubber ROI;Radial Nebraska Mountain;Soft seamless;2021-10-31T02:27:10;2021-10-31T08:21:25;indexing Shoes cross-platform;10
