id;uid;code;name;created;last_updated;family_no;address;organisation_unit_id
1;streamline;Steel;Human Global;2021-10-31T13:00:14;2021-10-31T21:26:02;88970;Operative Table;1
2;Frozen ROI;Car;User-friendly;2021-10-31T08:33:45;2021-10-31T01:40:52;19704;next-generation e-services embrace;2
3;Berkshire B;Configuration red Object-based;Intelligent Legacy Books;2021-10-31T05:19:31;2021-10-31T01:59:10;57331;primary Michigan;3
4;HTTP lavend;Drive;Borders incentivize mission-critical;2021-10-31T02:31:58;2021-10-31T03:47:26;20713;Dakota;4
5;partnership;Jamahiriya Lead improvement;Intelligent system;2021-10-31T23:18:28;2021-10-31T02:45:26;94898;silver Universal;5
6;withdrawal ;disintermediate XML;service-desk platforms Shirt;2021-10-31T12:36:11;2021-10-31T14:42:35;22923;parallelism;6
7;Response Vi;AI;Rubber Sports;2021-10-31T16:30:20;2021-10-31T12:40:41;87025;foreground;7
8;invoice;Street circuit;deposit e-business;2021-10-31T03:59:16;2021-10-31T00:34:43;21190;back-end Texas Fish;8
9;California;Chips copy;transmitter matrix Texas;2021-10-31T06:22:22;2021-10-31T19:03:38;71694;XSS;9
10;Managed Sri;orchid;neural Regional vortals;2021-10-31T22:30:01;2021-10-31T22:55:48;67669;info-mediaries Configuration;10
