id;uid;code;name;created;last_updated;wh_no;initial_balance_plan;initial_balance_actual;activity_id
1;Buckinghams;moratorium Vatu;connect navigate Pizza;2021-10-31T22:48:20;2021-10-31T10:43:37;90678;95188;14423;1
2;Mandatory s;Concrete Manager Fish;wireless optical;2021-10-31T19:28:16;2021-10-31T20:23:03;90539;66324;46356;2
3;Chips Futur;integrate bluetooth bus;Cyprus Intranet Cambridgeshire;2021-10-31T10:04:45;2021-10-31T00:05:07;35505;60579;38474;3
4;reintermedi;SDD bandwidth-monitored Marketing;users input indexing;2021-10-31T18:17:30;2021-10-31T19:33:31;29387;37512;43490;4
5;sensor arch;Underpass models;Applications Fresh;2021-10-31T23:15:40;2021-10-31T20:33:51;79060;79919;26930;5
6;programming;program;Radial schemas Supervisor;2021-10-31T01:59:44;2021-10-31T09:22:22;93066;34993;62328;6
7;Florida;visionary Grocery Practical;SAS Run collaborative;2021-10-31T13:12:53;2021-10-31T16:11:49;96258;79295;81077;7
8;cohesive;out-of-the-box Buckinghamshire Auto;Jewelery;2021-10-31T22:56:14;2021-10-31T03:20:37;68697;86939;13189;8
9;Guiana;Convertible Fantastic Soft;Industrial Keyboard Lek;2021-10-31T08:05:01;2021-10-31T11:46:21;22123;7156;86612;9
10;deposit hac;web-enabled Architect enhance;parse infrastructures;2021-10-31T18:35:01;2021-10-31T13:02:44;92883;10325;72464;10
